"ANNEE","REGIONS / DISTRICTS","VILLES / COMMUNES","MALADIE","INCIDENCE SUR LA POPULATION GENERALE (%)"
2012,"ABIDJAN 2",,"PALUDISME",130.5467157845445
2012,,"ABOBO EST","PALUDISME",171.82522952969833
2012,,"ABOBO OUEST","PALUDISME",68.22406508460156
2012,,"ANYAMA","PALUDISME",192.06106724005
2012,,"COCODY-BINGERVILLE","PALUDISME",163.08513771170502
2012,,"KOUMASSI-PORT-BOUET-VRIDI","PALUDISME",128.4105855013121
2012,,"MARCORY-TREICHVILLE","PALUDISME",87.70410632846188
2012,"ABIDJAN 1-GRANDS PONTS",,"PALUDISME",109.96263429341515
2012,,"ADJAME-PLATEAU-ATTECOUBE","PALUDISME",68.61283568400371
2012,,"DABOU","PALUDISME",145.73765410019791
2012,,"GRAND LAHOU","PALUDISME",134.38652976653546
2012,,"JACQUEVILLE","PALUDISME",227.415071650466
2012,,"YOPOUGON EST","PALUDISME",102.14984513743434
2012,,"YOPOUGON OUEST","PALUDISME",131.71582758962703
2012,"AGNEBY-TIASSA-ME",,"PALUDISME",114.8721164308225
2012,,"ADZOPE","PALUDISME",88.29295125724053
2012,,"AGBOVILLE","PALUDISME",105.73035136165828
2012,,"AKOUPE","PALUDISME",170.87982526945538
2012,,"ALEPE","PALUDISME",73.0426403276319
2012,,"SIKENSI","PALUDISME",186.46760213184763
2012,,"TIASSALE","PALUDISME",109.76059347538221
2012,"BELIER",,"PALUDISME",151.46108478922636
2012,,"DIDIEVI","PALUDISME",161.2394278767814
2012,,"TIEBISSOU","PALUDISME",159.88488139999072
2012,,"TOUMODI","PALUDISME",234.87930396845795
2012,,"YAMOUSSOUKRO","PALUDISME",111.48552127418128
2012,"BOUNKANI-GONTOUGO",,"PALUDISME",114.7579548031139
2012,,"BONDOUKOU","PALUDISME",88.40019682106889
2012,,"BOUNA","PALUDISME",98.76641009052781
2012,,"NASSIAN","PALUDISME",146.80746446884731
2012,,"TANDA","PALUDISME",155.11163337250295
2012,"CAVALLY-GUEMON",,"PALUDISME",128.31895069944557
2012,,"BANGOLO","PALUDISME",125.28956086382544
2012,,"BLOLEQUIN","PALUDISME",89.17206450564743
2012,,"DUEKOUE","PALUDISME",84.43017656500803
2012,,"GUIGLO","PALUDISME",215.28593440808413
2012,,"KOUIBLY","PALUDISME",126.78769870029473
2012,,"TOULEPLEU","PALUDISME",98.02201830058515
2012,"GBEKE",,"PALUDISME",109.51271897278407
